id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev,far_1,far_2,far_3
260,545,0.94,0.95,0.38,1878.41,1344.34,1637.0,61.0,62.33,18.19,0.68,0.94,1.13
261,558,1.1,1.1,0.6,1944.2,1340.5,1685.78,63.3,68.5,17.51,0.64,1.1,1.38
263,604,1.46,1.65,0.55,2228.89,1883.0,1535.97,42.54,40.15,9.24,1.18,1.65,1.84
264,489,0.65,0.65,0.1,3376.19,2575.25,2005.61,71.34,70.92,2.64,0.55,0.65,0.76
266,470,0.96,0.9,0.44,1456.25,1300.0,714.1,56.35,57.31,16.6,0.7,0.9,1.1
267,498,0.73,0.73,0.0,2189.0,2189.0,0.0,63.41,63.41,0.0,0.73,0.73,0.73
268,560,0.86,0.75,0.27,1786.92,1695.66,1000.31,56.56,67.41,21.93,0.69,0.75,0.92
270,636,1.0,0.85,0.53,2238.0,1318.25,3371.51,63.9,63.19,17.3,0.7,0.86,1.32
272,299,0.76,0.67,0.44,6601.61,1930.5,7642.52,71.09,70.71,13.11,0.47,0.67,1.01
278,281,0.92,0.83,0.29,1475.27,1355.5,625.56,64.1,66.81,11.26,0.73,0.83,1.15
279,282,0.93,0.81,0.54,1965.35,1557.0,1285.05,66.43,68.19,16.23,0.61,0.82,1.05
280,320,0.88,0.77,0.45,3051.29,2309.34,2432.11,64.64,66.75,11.82,0.55,0.76,0.98
281,289,0.93,0.88,0.38,1836.36,1627.33,1112.74,64.63,67.93,14.0,0.61,0.88,1.13
282,408,0.56,0.49,0.14,7576.44,3502.33,6042.64,67.98,69.39,6.72,0.46,0.49,0.62
283,414,0.83,0.84,0.25,1969.6,1590.75,1100.93,66.81,66.24,7.67,0.62,0.84,0.99
284,420,0.83,0.81,0.16,1647.1,1625.0,225.85,63.26,66.22,6.33,0.71,0.81,0.97
285,428,0.94,1.05,0.18,1475.08,1083.33,656.15,64.64,60.85,8.12,0.88,1.05,1.06
286,436,1.02,1.17,0.26,1325.17,1032.75,540.92,67.51,67.85,8.54,0.78,1.17,1.19
287,440,0.95,0.83,0.37,1940.02,1269.0,2467.14,64.53,71.72,13.98,0.71,0.84,1.14
288,453,0.97,1.07,0.52,2600.31,1540.67,3156.87,65.42,64.93,14.68,0.57,1.07,1.14
289,466,0.89,0.78,0.55,1928.92,1923.33,1109.32,61.37,70.42,24.57,0.66,0.78,0.9
290,493,1.36,1.44,0.46,3174.81,1018.8,6120.84,51.5,48.91,16.62,1.0,1.44,1.53
293,494,1.61,1.23,1.12,3321.38,2249.75,3035.02,50.4,54.26,25.05,0.82,1.23,2.02
294,501,0.8,0.7,0.28,2283.46,2038.33,1242.07,69.45,70.23,8.45,0.58,0.7,0.92
295,506,0.88,0.8,0.29,2258.3,2078.0,1674.31,60.24,64.6,16.63,0.68,0.8,0.94
296,523,1.03,1.06,0.24,1989.23,1301.25,4024.72,57.51,57.36,12.1,0.91,1.06,1.18
298,353,0.9,0.82,0.25,1585.65,1404.0,648.51,64.24,67.1,13.11,0.72,0.82,0.99
299,337,0.83,0.8,0.29,2404.73,2346.75,1334.71,60.97,64.97,15.61,0.53,0.8,1.02
300,344,0.9,0.88,0.23,2129.42,1539.83,1306.15,64.54,60.83,12.7,0.8,0.88,1.02
301,448,0.8,0.64,0.38,2377.3,2041.0,1355.93,66.06,71.88,18.24,0.54,0.64,1.04
302,372,0.83,0.79,0.22,2605.63,2105.5,2266.76,64.7,70.16,14.95,0.66,0.79,0.87
303,488,0.74,0.7,0.38,2746.8,1594.0,2537.72,65.04,68.28,18.63,0.49,0.7,0.9
304,444,1.03,0.9,0.5,1391.61,938.5,942.24,66.41,70.42,11.88,0.7,0.9,1.14
305,365,0.86,0.8,0.45,2450.74,1836.0,2062.63,70.66,71.2,13.53,0.48,0.8,1.1
306,374,0.94,0.86,0.43,1805.32,1355.5,1383.02,56.99,61.06,20.47,0.66,0.86,1.1
307,302,1.01,1.04,0.15,1230.98,1094.5,392.23,59.62,59.92,3.75,0.9,1.04,1.11
308,362,0.89,0.87,0.33,2110.11,1337.67,2301.25,63.3,63.34,14.55,0.65,0.87,1.18
309,364,0.94,0.89,0.31,3464.51,1421.33,7357.17,62.86,67.29,16.48,0.72,0.89,1.19
310,394,0.86,0.76,0.45,3898.51,1507.5,6741.97,52.42,64.48,23.89,0.66,0.76,0.94
311,455,0.83,0.81,0.31,2144.57,1673.91,1571.35,61.11,65.35,15.39,0.65,0.82,0.99
312,368,0.78,0.72,0.25,2161.62,1747.5,1634.22,65.34,67.74,12.84,0.61,0.72,0.91
313,445,0.96,0.89,0.45,1950.16,1867.5,965.27,56.89,62.84,17.33,0.6,0.89,1.14
314,464,1.23,1.08,0.47,1260.88,1200.0,277.15,48.34,57.68,20.52,1.0,1.08,1.2
315,473,0.94,0.8,0.3,1414.96,1534.25,556.25,57.35,52.93,15.96,0.68,0.8,1.2
316,484,1.03,0.97,0.25,1069.25,1103.75,226.71,49.52,52.75,14.84,0.86,0.97,1.12
317,517,1.13,1.05,0.46,1727.54,970.0,1877.21,63.46,67.27,18.82,0.78,1.05,1.31
318,426,0.8,0.73,0.23,2334.79,1874.5,1122.29,67.19,68.31,6.03,0.66,0.73,0.96
319,384,1.03,0.96,0.49,1906.5,1199.4,1762.36,64.81,70.09,15.86,0.73,0.96,1.27
320,399,1.49,1.69,0.67,1556.14,1122.0,1080.0,58.14,61.62,17.19,0.86,1.69,2.19
321,490,1.26,1.29,0.65,1706.66,904.75,1928.43,53.92,55.95,16.96,0.74,1.28,1.48
323,433,1.07,0.99,0.45,1568.48,1164.34,1080.79,64.14,67.48,11.77,0.7,1.0,1.4
325,335,0.94,0.86,0.44,1896.85,1525.0,1611.36,65.08,68.02,15.45,0.66,0.86,1.25
326,366,1.04,0.8,0.7,4219.96,1567.8,6922.3,56.11,61.05,24.11,0.61,0.8,1.14
327,296,0.89,0.85,0.34,2927.9,1966.0,2504.1,65.83,65.86,11.11,0.64,0.85,1.08
329,241,0.63,0.44,0.69,10096.89,10341.0,5640.05,71.62,81.09,20.03,0.38,0.44,0.54
