id,ML,street_name,street_number,zone,block,total_rooms,bedrooms,first_floor_area,land_area,living_area,neighborhood,num_stories,FAR,LADU,OPEN,lot,lat
2085,103-95,Pearl St,145,C,676,None,None,2428,4298,6874,Cambridgeport,2.5,1.6,716.33,43.51,-71.106533959,42.3612123895
2895,103-97,Perry St,9,C,660,8,4,836,3037,1890,Cambridgeport,2.5,0.62,3037.0,72.47,-71.1062267756,42.3620475659
382,103-98,Perry St,7,C,660,7,4,827,3161,1871,Cambridgeport,2.5,0.59,3161.0,73.84,-71.1062025052,42.3620325479
1820,104-102,Kelly Rd,1,C,656,11,4,1100,2700,3200,Cambridgeport,0.0,1.19,1350.0,59.26,-71.1084278907,42.3620287186
1781,104-103,Magazine St,65,C,656,None,None,2107,4085,4799,Cambridgeport,2.5,1.17,1021.25,48.42,-71.1080514898,42.3620412568
11002,104-104,Magazine St,69,C,656,None,None,1680,2953,5040,Cambridgeport,3.0,1.71,738.25,43.11,-71.1081536198,42.3619217991
5399,104-106,Chalk St,31,C,670,7,3,1052,2229,2092,Cambridgeport,2.0,0.94,2229.0,52.8,-71.1099662313,42.3621104945
5203,104-109,Upton St,15,C,642,None,None,16850,35508,56594,Cambridgeport,3.0,1.59,35508.0,52.55,-71.1083736192,42.362939261
11535,104-11,Chalk St,14,C,682,6,2,900,4139,1230,Cambridgeport,1.5,0.3,4139.0,78.26,-71.1095033752,42.361624165
12136,104-110,Pleasant Pl,2-A,C,642,14,7,3100,3638,3100,Cambridgeport,0.0,0.85,1819.0,14.79,-71.1085537559,42.3634441449
7373,104-111,Pleasant Pl,4,C,642,7,4,630,1322,1332,Cambridgeport,2.5,1.01,1322.0,52.34,-71.1084216139,42.3634078466
1874,104-112,Magazine St,41,C,642,10,6,1138,4739,2317,Cambridgeport,2.5,0.49,2369.5,75.99,-71.1070043342,42.3629959342
8075,104-114,Kelly Rd,30,C,670,6,3,751,3724,1491,Cambridgeport,2.0,0.4,3724.0,79.83,-71.1094881041,42.3624738153
12273,104-116,Kelly Rd,16,C,670,None,None,2491,6538,9273,Cambridgeport,3.0,1.42,1634.5,61.9,-71.1089537769,42.3621514372
10089,104-119,Upton St,30,C,656,7,4,872,2315,1754,Cambridgeport,2.0,0.76,2315.0,62.33,-71.1089085086,42.362973973
12893,104-122,Kelly Rd,9,C,656,16,6,2160,7008,4650,Cambridgeport,2.5,0.66,2336.0,69.18,-71.1085650184,42.3621769658
3451,104-123,Kelly Rd,5,C,656,13,6,1319,3999,3421,Cambridgeport,2.5,0.86,1999.5,67.02,-71.108539534,42.3620973126
12049,104-124,Chalk St,30,C,682,15,6,1062,3999,3186,Cambridgeport,3.0,0.8,1333.0,73.44,-71.1100560124,42.3619584586
450,104-126,Fairmont St,25-A,C,682,18,8,3280,5999,4345,Cambridgeport,0.0,0.72,1999.67,45.32,-71.1102931767,42.3617573289
1406,104-127,Chalk St,12,C,682,6,3,816,3227,1404,Cambridgeport,1.75,0.44,3227.0,74.71,-71.1094339392,42.361583257
8990,104-129,Magazine St,89,C,682,10,4,1271,3999,2472,Cambridgeport,2.0,0.62,3999.0,68.22,-71.1093161739,42.3609328727
224,104-130,Fairmont St,9,C,682,None,None,6001,37418,27304,Cambridgeport,4.0,0.73,748.36,83.96,-71.1095896626,42.3610465553
9411,104-131,Kelly Rd,22,C,670,12,5,2944,4953,2944,Cambridgeport,0.0,0.59,2476.5,40.56,-71.1093315913,42.3621970621
1005,104-132,Kelly Rd,28,C,670,12,5,1265,4660,2866,Cambridgeport,2.5,0.62,2330.0,72.85,-71.1093945424,42.3624191355
7862,104-133,Magazine St,55,C,642,203,80,7084,31497,46454,Cambridgeport,0.0,1.47,629.94,77.51,-71.1075030934,42.3625293924
