id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
49,508,0.87,0.76,0.23,1162.16,1249.5,369.14,54.91,58.93,13.13
50,516,1.27,1.21,0.35,861.44,910.67,282.54,56.36,59.2,10.47
51,529,0.91,0.89,0.26,1501.45,1350.0,825.57,55.02,56.2,10.27
52,537,1.11,1.23,0.4,1756.08,1752.0,1074.13,53.73,50.65,18.4
53,540,0.95,0.88,0.35,1629.27,1492.5,763.4,57.75,59.14,9.11
54,541,0.81,0.63,0.49,2114.72,2111.0,1287.6,68.86,74.13,14.94
55,563,1.25,0.86,0.83,1165.96,890.16,833.49,50.12,60.98,22.99
57,417,0.47,0.48,0.1,3257.28,3070.5,1018.1,78.17,79.02,4.94
58,403,1.69,1.81,0.55,839.56,534.33,887.08,42.42,42.59,11.38
59,546,1.04,1.08,0.42,1485.67,892.5,1382.93,56.4,58.79,14.57
60,555,1.17,1.07,0.47,1327.72,1335.0,577.18,60.69,65.58,15.03
61,415,0.97,0.78,0.5,1475.71,1400.0,783.11,57.26,60.86,15.29
62,427,0.83,0.79,0.33,2051.13,1841.5,1340.47,64.4,64.25,12.07
63,441,0.7,0.6,0.32,2547.39,2381.75,1620.39,70.14,73.36,12.05
64,456,1.0,0.86,0.46,1645.96,1500.62,983.93,56.55,56.24,15.93
65,462,0.86,0.82,0.38,1926.69,1665.29,1028.28,57.43,56.69,16.74
68,520,0.8,0.72,0.31,4614.94,4999.0,2605.82,63.41,65.05,2.77
70,548,1.44,1.69,0.47,1237.2,846.75,627.21,39.57,43.81,14.03
71,556,1.37,1.57,0.46,931.06,739.12,346.63,55.74,53.25,14.77
72,565,0.75,0.7,0.21,2503.18,1697.67,3335.28,63.15,67.69,15.96
73,580,0.87,0.83,0.27,1571.31,1707.5,463.1,63.08,65.07,10.46
74,542,0.95,0.95,0.36,1771.08,1396.0,938.94,68.82,69.28,7.76
75,475,1.29,0.85,0.83,1179.58,1025.33,702.19,54.23,56.96,21.51
76,495,0.81,0.7,0.33,2085.17,1666.0,1386.32,64.09,67.26,11.6
77,509,1.0,0.8,0.64,1801.05,1558.5,1089.22,57.97,63.41,17.3
78,510,0.81,0.69,0.4,2143.1,1889.25,1235.1,66.22,67.39,11.36
79,527,1.21,1.03,1.17,2314.81,1367.75,2183.29,59.39,62.88,23.29
